EmpID,FirstName,LastName,Email,Location,JobTitle,Department,dep_id,job_id,Role_ID,All_Entitlements,EmployeeStatus,EmployeeType,Gender
3427,Uriah,Bridges,uriah.bridges@bilearner.com,Canada,Software Developer,Software Development,DEP001,JOB001,ROLE001,"ENT001, ENT002, ENT003, ENT036",Active,Contract,Female
3428,Paula,Small,paula.small@bilearner.com,India,DevOps Engineer,Software Development,DEP001,JOB002,,ENT035,Active,Contract,Male
3429,Edward,Buck,edward.buck@bilearner.com,India,Full Stack Developer,Software Development,DEP001,JOB003,ROLE002,"ENT004, ENT005, ENT006, ENT035",Active,Full-Time,Male
3430,Michael,Riordan,michael.riordan@bilearner.com,India,Backend Developer,Software Development,DEP001,JOB004,ROLE007,"ENT018, ENT019, ENT020, ENT035",Active,Contract,Male
3431,Jasmine,Onque,jasmine.onque@bilearner.com,Canada,IT Operations Manager,IT Operations,DEP002,JOB005,ROLE009,"ENT024, ENT025, ENT026, ENT036",Active,Contract,Female
3432,Maruk,Fraval,maruk.fraval@bilearner.com,India,Systems Administrator,IT Operations,DEP002,JOB006,ROLE012,"ENT032, ENT033, ENT034, ENT035",Active,Contract,Male
3433,Latia,Costa,latia.costa@bilearner.com,Canada,Database Administrator (DBA),IT Operations,DEP002,JOB007,ROLE004,"ENT010, ENT011, ENT012, ENT036",Active,Full-Time,Female
3434,Sharlene,Terry,sharlene.terry@bilearner.com,India,Network Administrator,IT Operations,DEP002,JOB008,ROLE005,"ENT013, ENT014, ENT035",Active,Contract,Female
3435,Jac,McKinzie,jac.mckinzie@bilearner.com,Canada,Product Manager,Product Management,DEP003,JOB009,,ENT036,Active,Contract,Male
3436,Joseph,Martins,joseph.martins@bilearner.com,Canada,Project Manager,Project Management,DEP004,JOB010,,ENT036,Active,Part-Time,Male
3437,Myriam,Givens,myriam.givens@bilearner.com,Canada,Business Analyst,Product Management,DEP003,JOB011,ROLE003,"ENT007, ENT008, ENT009, ENT036",Active,Contract,Female
3438,Dheepa,Nguyen,dheepa.nguyen@bilearner.com,India,Scrum Master,Project Management,DEP004,JOB012,ROLE010,"ENT027, ENT028, ENT035",Active,Full-Time,Female
3439,Bartholemew,Khemmich,bartholemew.khemmich@bilearner.com,Canada,Enterprise Architect,Enterprise Architecture,DEP005,JOB013,,ENT036,Active,Full-Time,Male
3440,Xana,Potts,xana.potts@bilearner.com,India,Solutions Architect,Enterprise Architecture,DEP005,JOB014,ROLE011,"ENT029, ENT030, ENT031, ENT035",Active,Contract,Female
3441,Prater,Jeremy,prater.jeremy@bilearner.com,Canada,IT Strategy Consultant,Enterprise Architecture,DEP005,JOB015,,ENT036,Active,Part-Time,Male
3442,Kaylah,Moon,kaylah.moon@bilearner.com,Canada,QA Engineer,Quality Assurance,DEP006,JOB016,,ENT036,Active,Full-Time,Male
3443,Kristen,Tate,kristen.tate@bilearner.com,Canada,Test Automation Engineer,Quality Assurance,DEP006,JOB017,,ENT036,Active,Full-Time,Male
3444,Bobby,Rodgers,bobby.rodgers@bilearner.com,India,Performance Tester,Quality Assurance,DEP006,JOB018,,ENT035,Active,Contract,Male
3445,Reid,Park,reid.park@bilearner.com,Canada,Software Test Analyst,Quality Assurance,DEP006,JOB019,,ENT036,Active,Contract,Female
3446,Hector,Dalton,hector.dalton@bilearner.com,Canada,Technical Recruiter,HR Department,DEP007,JOB020,,ENT036,Active,Part-Time,Female
3447,Mariela,Schultz,mariela.schultz@bilearner.com,India,IT Recruitment Specialist,HR Department,DEP007,JOB021,,ENT035,Future Start,Part-Time,Female
3448,Angela,Molina,angela.molina@bilearner.com,Canada,HR Business Partner,HR Department,DEP007,JOB022,,ENT036,Future Start,Full-Time,Male
3449,Gerald,Preston,gerald.preston@bilearner.com,India,Talent Acquisition Specialist,HR Department,DEP007,JOB023,,ENT035,Future Start,Contract,Male
3450,Reilly,Moyer,reilly.moyer@bilearner.com,Canada,HR Recruitment Officer,HR Department,DEP007,JOB024,,ENT036,Active,Contract,Male
3451,Carlee,French,carlee.french@bilearner.com,India,Software Developer,Software Development,DEP001,JOB001,ROLE001,"ENT001, ENT002, ENT003, ENT035",Active,Contract,Male
3452,Jaydon,Blackburn,jaydon.blackburn@bilearner.com,Canada,DevOps Engineer,Software Development,DEP001,JOB002,,ENT036,Active,Part-Time,Male
3453,Bridger,Carter,bridger.carter@bilearner.com,India,Full Stack Developer,Software Development,DEP001,JOB003,ROLE002,"ENT004, ENT005, ENT006, ENT035",Active,Contract,Male
3454,Leon,Beard,leon.beard@bilearner.com,Canada,Backend Developer,Software Development,DEP001,JOB004,ROLE007,"ENT018, ENT019, ENT020, ENT036",Active,Full-Time,Male
3455,Charity,Miranda,charity.miranda@bilearner.com,Canada,IT Operations Manager,IT Operations,DEP002,JOB005,ROLE009,"ENT024, ENT025, ENT026, ENT036",Active,Full-Time,Male
3456,Axel,Howe,axel.howe@bilearner.com,India,Systems Administrator,IT Operations,DEP002,JOB006,ROLE012,"ENT032, ENT033, ENT034, ENT035",Active,Full-Time,Female
3457,Milton,Wall,milton.wall@bilearner.com,Canada,Database Administrator (DBA),IT Operations,DEP002,JOB007,ROLE004,"ENT010, ENT011, ENT012, ENT036",Active,Full-Time,Female
3458,Cory,Robinson,cory.robinson@bilearner.com,Canada,Network Administrator,IT Operations,DEP002,JOB008,ROLE005,"ENT013, ENT014, ENT036",Future Start,Contract,Female
