EmpID,FirstName,LastName,Email,Location,JobTitle,Department,dep_id,job_id,Role_ID,All_Entitlements,EmployeeStatus,EmployeeType,Gender
2373,FN2373,LN2373,user2373@example.com,USA,IT Ops,IT,DEP002,JOB019,ROLE028,"ENT_MANAGE_S3, ENT_MONITOR, ENT_DEPLOY_APP, ENT_ACCESS_LOGS, ENT_READ_CODE",Active,FullTime,Other
2357,FN2357,LN2357,user2357@example.com,USA,IT Ops,IT,DEP002,JOB012,ROLE091,"ENT_MANAGE_S3, ENT_MONITOR, ENT_DEPLOY_APP, ENT_ACCESS_LOGS, ENT_READ_CODE",Active,FullTime,Other
2157,FN2157,LN2157,user2157@example.com,India,Finance Manager,Finance,DEP003,JOB009,ROLE115,"ENT_READ_FINDB, ENT_RW_FINDB, ENT_APPROVE_PO, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Female
2313,FN2313,LN2313,user2313@example.com,UK,IT Developer,IT,DEP004,JOB007,ROLE147,"ENT_READ_CODE, ENT_WRITE_CODE, ENT_DEPLOY_APP, ENT_ACCESS_LOGS, ENT_MANAGE_S3",Active,Contract,Female
2333,FN2333,LN2333,user2333@example.com,Canada,IT Ops,IT,DEP001,JOB018,ROLE114,"ENT_MANAGE_S3, ENT_MONITOR, ENT_DEPLOY_APP, ENT_ACCESS_LOGS, ENT_READ_CODE",Active,FullTime,Female
2024,FN2024,LN2024,user2024@example.com,Canada,Finance Analyst,Finance,DEP003,JOB003,ROLE047,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER, ENT_EXPORT_REPORTS, ENT_EXPORT_CSV, ENT_CONTACT_CANDIDATES",Active,FullTime,Other
2432,FN2432,LN2432,user2432@example.com,USA,Sales Rep,Sales,DEP004,JOB014,ROLE014,"ENT_VIEW_CUSTOMERS, ENT_EDIT_CUSTOMERS, ENT_CREATE_QUOTES, ENT_VIEW_REPORTS, ENT_EXPORT_REPORTS",Active,FullTime,Other
2314,FN2314,LN2314,user2314@example.com,USA,IT Developer,IT,DEP005,JOB012,ROLE036,"ENT_READ_CODE, ENT_WRITE_CODE, ENT_DEPLOY_APP, ENT_ACCESS_LOGS, ENT_MANAGE_S3",Active,Contract,Male
2243,FN2243,LN2243,user2243@example.com,UK,HR Manager,HR,DEP002,JOB001,ROLE116,"ENT_FULLACCESS_HRPORTAL, ENT_APPROVE_HIRE, ENT_VIEW_PROFILES, ENT_ACCESS_CANDIDATEDB, ENT_MANAGE_POLICIES",Active,FullTime,Female
2265,FN2265,LN2265,user2265@example.com,Canada,IT Developer,IT,DEP002,JOB004,ROLE097,"ENT_READ_CODE, ENT_WRITE_CODE, ENT_DEPLOY_APP, ENT_ACCESS_LOGS, ENT_MANAGE_S3",Active,FullTime,Male
2371,FN2371,LN2371,user2371@example.com,USA,IT Ops,IT,DEP004,JOB020,ROLE107,"ENT_MANAGE_S3, ENT_MONITOR, ENT_DEPLOY_APP, ENT_ACCESS_LOGS, ENT_READ_CODE",Active,FullTime,Male
