EmpID,FirstName,LastName,Email,Location,JobTitle,Department,dep_id,job_id,Role_ID,All_Entitlements,EmployeeStatus,EmployeeType,Gender
1000,FN1000,LN1000,user1000@example.com,USA,Manager,Finance,DEP004,JOB019,ROLE100,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_APPROVE_PO, ENT_MANAGE_S3",Active,Contract,Female
1001,FN1001,LN1001,user1001@example.com,UK,Analyst,Finance,DEP002,JOB014,ROLE121,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Other
1002,FN1002,LN1002,user1002@example.com,India,Analyst,Finance,DEP002,JOB011,ROLE137,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Other
1003,FN1003,LN1003,user1003@example.com,UK,Recruiter,HR,DEP005,JOB020,ROLE184,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,Contract,Other
1004,FN1004,LN1004,user1004@example.com,Canada,Analyst,Finance,DEP003,JOB004,ROLE060,"ENT_READ_FINDB, ENT_READ_LEDGER",Active,FullTime,Other
1005,FN1005,LN1005,user1005@example.com,UK,Ops,IT,DEP002,JOB001,ROLE038,"ENT_MONITOR, ENT_MANAGE_S3",Active,FullTime,Other
1006,FN1006,LN1006,user1006@example.com,Canada,Analyst,Finance,DEP002,JOB010,ROLE118,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Female
1007,FN1007,LN1007,user1007@example.com,UK,Manager,Finance,DEP001,JOB016,ROLE056,"ENT_VIEW_REPORTS, ENT_APPROVE_PO",Active,FullTime,Other
1008,FN1008,LN1008,user1008@example.com,India,Developer,IT,DEP001,JOB014,ROLE152,"ENT_READ_CODE, ENT_WRITE_CODE",Active,Contract,Female
1009,FN1009,LN1009,user1009@example.com,Canada,Recruiter,HR,DEP003,JOB017,ROLE071,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,FullTime,Female
1010,FN1010,LN1010,user1010@example.com,India,Ops,IT,DEP003,JOB019,ROLE004,"ENT_MONITOR, ENT_MANAGE_S3, ENT_DEPLOY_APP",Active,FullTime,Male
1011,FN1011,LN1011,user1011@example.com,UK,Rep,Sales,DEP003,JOB011,ROLE185,"ENT_VIEW_CUSTOMERS, ENT_EDIT_CUSTOMERS, ENT_CREATE_QUOTES",Active,Contract,Male
1012,FN1012,LN1012,user1012@example.com,Canada,Analyst,Finance,DEP003,JOB006,ROLE082,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Male
1013,FN1013,LN1013,user1013@example.com,USA,Rep,Sales,DEP005,JOB007,ROLE156,"ENT_VIEW_CUSTOMERS, ENT_EDIT_CUSTOMERS, ENT_CREATE_QUOTES",Active,FullTime,Other
1014,FN1014,LN1014,user1014@example.com,India,Recruiter,HR,DEP005,JOB009,ROLE142,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,Contract,Male
1015,FN1015,LN1015,user1015@example.com,Canada,Recruiter,HR,DEP001,JOB013,ROLE151,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,FullTime,Female
1016,FN1016,LN1016,user1016@example.com,Canada,Analyst,Finance,DEP002,JOB011,ROLE023,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Male
1017,FN1017,LN1017,user1017@example.com,UK,Manager,Finance,DEP003,JOB007,ROLE003,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_RW_FINDB, ENT_APPROVE_PO",Active,Contract,Male
1018,FN1018,LN1018,user1018@example.com,India,Recruiter,HR,DEP005,JOB008,ROLE129,ENT_VIEW_PROFILES,Active,FullTime,Male
1019,FN1019,LN1019,user1019@example.com,India,Analyst,Finance,DEP002,JOB020,ROLE037,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Other
1020,FN1020,LN1020,user1020@example.com,India,Analyst,Finance,DEP003,JOB020,ROLE010,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER, ENT_MONITOR",Active,FullTime,Other
1021,FN1021,LN1021,user1021@example.com,UK,Rep,Sales,DEP005,JOB005,ROLE093,"ENT_EDIT_CUSTOMERS, ENT_CREATE_QUOTES",Active,Contract,Female
1022,FN1022,LN1022,user1022@example.com,India,Manager,HR,DEP001,JOB006,ROLE132,"ENT_FULLACCESS_HRPORTAL, ENT_APPROVE_HIRE, ENT_VIEW_PROFILES",Active,Contract,Female
1023,FN1023,LN1023,user1023@example.com,UK,Analyst,Finance,DEP003,JOB003,ROLE029,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Female
1024,FN1024,LN1024,user1024@example.com,India,Recruiter,HR,DEP004,JOB006,ROLE149,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES, ENT_CREATE_QUOTES",Active,Contract,Female
1025,FN1025,LN1025,user1025@example.com,USA,Analyst,Finance,DEP003,JOB018,ROLE185,"ENT_READ_FINDB, ENT_VIEW_REPORTS",Active,Contract,Male
1026,FN1026,LN1026,user1026@example.com,India,Analyst,Finance,DEP005,JOB008,ROLE162,"ENT_READ_LEDGER, ENT_EDIT_CUSTOMERS",Active,FullTime,Male
1027,FN1027,LN1027,user1027@example.com,Canada,Analyst,Finance,DEP004,JOB014,ROLE018,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Female
1028,FN1028,LN1028,user1028@example.com,Canada,Analyst,Finance,DEP002,JOB016,ROLE099,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Male
1029,FN1029,LN1029,user1029@example.com,India,Analyst,Finance,DEP002,JOB004,ROLE109,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER, ENT_APPROVE_PO",Active,Contract,Male
1030,FN1030,LN1030,user1030@example.com,Canada,Analyst,Finance,DEP005,JOB016,ROLE001,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Other
1031,FN1031,LN1031,user1031@example.com,India,Developer,IT,DEP001,JOB001,ROLE169,"ENT_READ_CODE, ENT_WRITE_CODE",Active,FullTime,Male
1032,FN1032,LN1032,user1032@example.com,UK,Ops,IT,DEP002,JOB003,ROLE056,"ENT_MONITOR, ENT_MANAGE_S3, ENT_DEPLOY_APP",Active,FullTime,Other
1033,FN1033,LN1033,user1033@example.com,India,Analyst,Finance,DEP004,JOB018,ROLE182,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Female
1034,FN1034,LN1034,user1034@example.com,UK,Recruiter,HR,DEP004,JOB018,ROLE093,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,Contract,Male
1035,FN1035,LN1035,user1035@example.com,India,Analyst,Finance,DEP005,JOB002,ROLE060,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Female
1036,FN1036,LN1036,user1036@example.com,India,Analyst,Finance,DEP002,JOB006,ROLE105,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Other
1037,FN1037,LN1037,user1037@example.com,UK,Recruiter,HR,DEP001,JOB010,ROLE027,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,FullTime,Female
1038,FN1038,LN1038,user1038@example.com,UK,Analyst,Finance,DEP002,JOB013,ROLE013,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Male
1039,FN1039,LN1039,user1039@example.com,USA,Manager,Finance,DEP002,JOB020,ROLE169,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_RW_FINDB",Active,FullTime,Female
1040,FN1040,LN1040,user1040@example.com,India,Analyst,Finance,DEP004,JOB014,ROLE123,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Other
1041,FN1041,LN1041,user1041@example.com,Canada,Ops,IT,DEP002,JOB015,ROLE139,"ENT_MONITOR, ENT_MANAGE_S3, ENT_DEPLOY_APP, ENT_EDIT_CUSTOMERS",Active,Contract,Male
1042,FN1042,LN1042,user1042@example.com,UK,Recruiter,HR,DEP001,JOB005,ROLE150,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,Contract,Female
1043,FN1043,LN1043,user1043@example.com,USA,Recruiter,HR,DEP003,JOB008,ROLE084,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,Contract,Other
1044,FN1044,LN1044,user1044@example.com,USA,Recruiter,HR,DEP002,JOB003,ROLE119,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,FullTime,Male
1045,FN1045,LN1045,user1045@example.com,USA,Analyst,Finance,DEP003,JOB010,ROLE184,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Other
1046,FN1046,LN1046,user1046@example.com,USA,Ops,IT,DEP001,JOB014,ROLE168,"ENT_MONITOR, ENT_MANAGE_S3, ENT_DEPLOY_APP, ENT_VIEW_CUSTOMERS",Active,Contract,Other
1047,FN1047,LN1047,user1047@example.com,India,Manager,Finance,DEP003,JOB013,ROLE140,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_RW_FINDB, ENT_APPROVE_PO",Active,Contract,Female
1048,FN1048,LN1048,user1048@example.com,India,Manager,HR,DEP003,JOB009,ROLE173,"ENT_FULLACCESS_HRPORTAL, ENT_APPROVE_HIRE, ENT_VIEW_PROFILES",Active,Contract,Female
1049,FN1049,LN1049,user1049@example.com,India,Manager,HR,DEP002,JOB008,ROLE068,"ENT_FULLACCESS_HRPORTAL, ENT_APPROVE_HIRE, ENT_VIEW_PROFILES",Active,Contract,Male
1050,FN1050,LN1050,user1050@example.com,India,Analyst,Finance,DEP005,JOB009,ROLE092,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER, ENT_WRITE_CODE",Active,FullTime,Female
1051,FN1051,LN1051,user1051@example.com,Canada,Recruiter,HR,DEP003,JOB005,ROLE062,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,Contract,Male
1052,FN1052,LN1052,user1052@example.com,UK,Manager,Finance,DEP001,JOB003,ROLE078,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_APPROVE_PO, ENT_WRITE_CODE",Active,Contract,Female
1053,FN1053,LN1053,user1053@example.com,UK,Analyst,Finance,DEP002,JOB016,ROLE149,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Other
1054,FN1054,LN1054,user1054@example.com,USA,Analyst,Finance,DEP002,JOB016,ROLE134,"ENT_READ_FINDB, ENT_VIEW_REPORTS",Active,Contract,Female
1055,FN1055,LN1055,user1055@example.com,India,Analyst,Finance,DEP002,JOB018,ROLE079,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Other
1056,FN1056,LN1056,user1056@example.com,UK,Recruiter,HR,DEP005,JOB017,ROLE034,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,FullTime,Female
1057,FN1057,LN1057,user1057@example.com,Canada,Manager,Finance,DEP003,JOB004,ROLE069,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_RW_FINDB, ENT_APPROVE_PO",Active,Contract,Male
1058,FN1058,LN1058,user1058@example.com,UK,Manager,Finance,DEP003,JOB015,ROLE174,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_RW_FINDB, ENT_APPROVE_PO, ENT_VIEW_CUSTOMERS",Active,Contract,Female
1059,FN1059,LN1059,user1059@example.com,Canada,Ops,IT,DEP001,JOB008,ROLE113,"ENT_MONITOR, ENT_MANAGE_S3, ENT_DEPLOY_APP",Active,Contract,Female
1060,FN1060,LN1060,user1060@example.com,USA,Recruiter,HR,DEP004,JOB011,ROLE125,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,FullTime,Male
1061,FN1061,LN1061,user1061@example.com,UK,Analyst,Finance,DEP005,JOB001,ROLE005,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Other
1062,FN1062,LN1062,user1062@example.com,Canada,Ops,IT,DEP002,JOB005,ROLE128,"ENT_MONITOR, ENT_MANAGE_S3, ENT_DEPLOY_APP",Active,Contract,Male
1063,FN1063,LN1063,user1063@example.com,USA,Analyst,Finance,DEP003,JOB010,ROLE103,"ENT_READ_FINDB, ENT_READ_LEDGER",Active,Contract,Other
1064,FN1064,LN1064,user1064@example.com,USA,Ops,IT,DEP001,JOB003,ROLE133,"ENT_MONITOR, ENT_MANAGE_S3, ENT_DEPLOY_APP, ENT_READ_FINDB",Active,Contract,Male
1065,FN1065,LN1065,user1065@example.com,USA,Analyst,Finance,DEP002,JOB020,ROLE005,ENT_READ_FINDB,Active,FullTime,Male
1066,FN1066,LN1066,user1066@example.com,India,Analyst,Finance,DEP005,JOB018,ROLE188,"ENT_READ_FINDB, ENT_READ_LEDGER",Active,Contract,Female
1067,FN1067,LN1067,user1067@example.com,India,Developer,IT,DEP001,JOB016,ROLE009,ENT_READ_CODE,Active,Contract,Male
1068,FN1068,LN1068,user1068@example.com,Canada,Manager,Finance,DEP002,JOB014,ROLE124,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_RW_FINDB, ENT_APPROVE_PO",Active,FullTime,Female
1069,FN1069,LN1069,user1069@example.com,Canada,Manager,HR,DEP001,JOB014,ROLE064,"ENT_FULLACCESS_HRPORTAL, ENT_APPROVE_HIRE, ENT_VIEW_PROFILES",Active,FullTime,Female
1070,FN1070,LN1070,user1070@example.com,UK,Analyst,Finance,DEP004,JOB010,ROLE023,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Male
1071,FN1071,LN1071,user1071@example.com,USA,Developer,IT,DEP002,JOB013,ROLE138,"ENT_READ_CODE, ENT_WRITE_CODE",Active,FullTime,Male
1072,FN1072,LN1072,user1072@example.com,India,Developer,IT,DEP001,JOB007,ROLE089,"ENT_READ_CODE, ENT_DEPLOY_APP",Active,FullTime,Other
1073,FN1073,LN1073,user1073@example.com,India,Analyst,Finance,DEP001,JOB010,ROLE076,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER, ENT_VIEW_PROFILES",Active,Contract,Male
1074,FN1074,LN1074,user1074@example.com,India,Analyst,Finance,DEP001,JOB010,ROLE005,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Female
1075,FN1075,LN1075,user1075@example.com,USA,Manager,Finance,DEP004,JOB019,ROLE159,"ENT_VIEW_REPORTS, ENT_RW_FINDB, ENT_APPROVE_PO",Active,FullTime,Male
1076,FN1076,LN1076,user1076@example.com,India,Analyst,Finance,DEP001,JOB012,ROLE182,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Female
1077,FN1077,LN1077,user1077@example.com,Canada,Analyst,Finance,DEP003,JOB014,ROLE037,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,FullTime,Female
1078,FN1078,LN1078,user1078@example.com,India,Analyst,Finance,DEP003,JOB007,ROLE167,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER",Active,Contract,Other
1079,FN1079,LN1079,user1079@example.com,India,Recruiter,HR,DEP001,JOB012,ROLE105,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,Contract,Female
1080,FN1080,LN1080,user1080@example.com,India,Recruiter,HR,DEP001,JOB003,ROLE138,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,FullTime,Other
1081,FN1081,LN1081,user1081@example.com,India,Ops,IT,DEP002,JOB002,ROLE173,"ENT_MONITOR, ENT_MANAGE_S3, ENT_DEPLOY_APP",Active,Contract,Other
1082,FN1082,LN1082,user1082@example.com,India,Ops,IT,DEP005,JOB018,ROLE098,"ENT_MONITOR, ENT_MANAGE_S3, ENT_DEPLOY_APP, ENT_WRITE_CODE",Active,Contract,Female
1083,FN1083,LN1083,user1083@example.com,Canada,Recruiter,HR,DEP002,JOB004,ROLE019,"ENT_ACCESS_CANDIDATEDB, ENT_VIEW_PROFILES",Active,Contract,Male
1084,FN1084,LN1084,user1084@example.com,India,Manager,Finance,DEP004,JOB010,ROLE170,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_RW_FINDB, ENT_APPROVE_PO",Active,Contract,Other
1085,FN1085,LN1085,user1085@example.com,India,Analyst,Finance,DEP004,JOB004,ROLE008,"ENT_READ_FINDB, ENT_VIEW_REPORTS, ENT_READ_LEDGER, ENT_WRITE_CODE",Active,Contract,Female
